Bureau,Total Accounts,Open Accounts,Close Accounts,Delinquent Accounts,Derogatory Accounts,Total Balances,Total Monthly Payments,Late 30 Count,Late 60 Count,Late 90 Count,No of Revolving Acc,No of Installment,No of Mortgage,No of Open Acc,No of Unknown Acc,No of Collection Acc,No of line of credit Acc,No of Inq,No of Public Record,Age of Oldest Account,Open Student loans,Credit Limit,Credit Score
Equifax,22,17,5,0,1,4819,684,17,0,0,18,2,0,1,1,0,0,23,0,32,0,21898,649
Experian,22,17,5,0,0,18385,390,0,0,0,13,3,3,0,2,0,1,0,0,32,0,17800,809
TransUnion,18,10,8,0,0,17065,692,0,0,0,12,4,2,0,0,0,0,0,1,29,0,45100,777
Equifax,37,24,13,0,0,71429,4489,0,0,0,16,20,0,0,1,0,0,36,0,29,0,84900,652
Experian,12,5,7,2,2,26742,599,5,3,5,1,8,0,0,0,2,1,7,0,29,0,400,535
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,660
Equifax,5,5,0,0,0,12839,316,0,0,0,4,1,0,0,0,0,0,21,0,27,0,600,605
Experian,33,21,12,0,0,142275,3650,2,0,0,13,18,2,0,0,0,0,1,0,27,0,32300,683
TransUnion,21,13,8,0,0,181102,1943,1,0,0,15,3,3,0,0,0,0,0,0,29,1,38300,652
Equifax,21,13,8,0,0,30302,840,0,0,0,17,3,0,1,0,0,0,6,0,29,0,33300,682
Experian,35,22,13,0,0,25256,1919,6,2,0,31,3,1,0,0,0,0,2,0,29,0,104000,705
TransUnion,14,8,6,0,0,27132,1069,0,0,0,13,1,0,0,0,0,0,0,0,46,0,16800,655
Equifax,41,31,10,0,0,16546,945,4,1,0,24,16,0,1,0,0,0,6,0,46,0,63249,739
Experian,19,13,6,0,0,754,108,0,0,0,11,5,0,0,0,0,3,2,0,46,0,69625,810
TransUnion,14,8,6,0,0,27132,1069,0,0,0,13,1,0,0,0,0,0,0,0,46,0,16800,655
Equifax,41,31,10,0,0,16546,945,4,1,0,24,16,0,1,0,0,0,6,0,46,0,63249,739
Experian,19,13,6,0,0,754,108,0,0,0,11,5,0,0,0,0,3,2,0,46,0,69625,810
TransUnion,12,6,6,0,0,876,57,0,0,0,12,0,0,0,0,0,0,0,0,19,0,50900,802
Equifax,44,5,39,1,36,2979,200,2,1,2,3,6,0,0,29,6,0,33,1,19,0,0,521
Experian,5,4,1,0,0,64,10,0,0,0,4,1,0,0,0,0,0,0,0,19,0,900,784
TransUnion,18,12,6,0,0,25678,660,0,0,0,11,1,4,1,0,0,1,1,0,46,0,44900,819
Equifax,5,4,1,0,0,126662,978,0,0,0,4,0,1,0,0,0,0,10,0,46,0,1600,660
Experian,11,10,1,0,0,256,20,0,0,0,7,3,0,0,0,0,1,0,0,46,0,74500,827
TransUnion,7,6,1,0,0,1882,57,0,0,0,7,0,0,0,0,0,0,2,0,38,0,27200,793
Equifax,15,6,9,0,1,50523,1851,0,0,0,9,2,3,1,0,0,0,1,0,38,0,5000,774
Experian,25,17,8,0,0,68529,858,0,0,0,20,3,0,0,0,0,2,2,0,38,0,41360,775
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,656
Equifax,37,20,17,0,0,7932,7941,6,0,0,6,29,0,1,0,0,1,9,0,18,2,4500,700
Experian,22,16,6,0,0,15006,511,0,0,0,19,3,0,0,0,0,0,0,0,18,0,110601,811
TransUnion,2,1,1,0,0,12118,527,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,722
Equifax,30,16,14,2,0,119334,1902,14,3,0,15,10,5,0,0,0,0,25,0,25,4,29468,610
TransUnion,2,1,1,1,1,1188,50,0,5,1,0,1,0,0,0,1,0,0,0,10,0,0,462
Equifax,3,3,0,0,0,1502,38,0,18,18,0,3,0,0,0,0,0,23,0,10,3,0,570
Experian,9,2,7,1,4,11305,22,13,5,15,6,3,0,0,0,0,0,1,0,10,0,4575,552
TransUnion,2,2,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,5000,764
Equifax,35,19,16,0,0,17617,495,6,2,1,24,9,1,0,0,0,1,7,0,23,0,39028,647
Experian,19,14,5,0,0,122889,2727,0,0,0,15,2,2,0,0,0,0,0,0,23,0,131000,810
Equifax,3,1,2,0,0,805,13,0,0,0,3,0,0,0,0,0,0,19,0,3,0,1000,679
Experian,10,8,2,4,0,57752,665,3,3,9,8,2,0,0,0,0,0,3,0,4,0,6165,546
TransUnion,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,12,0,4200,744
Equifax,16,7,9,2,3,3392,295,49,16,28,9,5,0,1,0,0,1,20,0,12,0,1680,609
Experian,2,2,0,1,0,10588,475,8,5,8,1,0,0,0,1,0,0,7,0,8,0,0,585
TransUnion,18,10,8,0,0,208117,1367,2,1,0,11,0,6,0,0,0,1,0,0,17,0,27600,695
Equifax,7,5,2,0,7,818,299,0,0,0,1,5,0,0,0,1,0,21,0,17,5,0,541
Experian,22,4,18,2,15,14225,346,18,8,27,18,1,0,2,0,1,0,8,0,14,0,4053,540
TransUnion,18,10,8,0,0,208117,1367,2,1,0,11,0,6,0,0,0,1,0,0,17,0,27600,695
Equifax,7,5,2,0,7,818,299,0,0,0,1,5,0,0,0,1,0,21,0,17,5,0,541
Experian,22,4,18,2,15,14225,346,18,8,27,18,1,0,2,0,1,0,8,0,14,0,4053,540
TransUnion,7,2,5,0,3,452,0,3,0,0,5,0,0,0,0,1,1,1,0,10,0,11800,1
Equifax,9,5,4,1,1,69851,1222,4,4,3,1,3,3,0,2,0,0,29,0,10,0,0,562
Experian,48,38,10,0,0,118221,1678,0,0,0,6,42,0,0,0,0,0,7,0,10,31,4000,647
TransUnion,7,2,5,0,3,452,0,3,0,0,5,0,0,0,0,1,1,1,0,10,0,11800,1
Equifax,9,5,4,1,1,69851,1222,4,4,3,1,3,3,0,2,0,0,29,0,10,0,0,562
Experian,48,38,10,0,0,118221,1678,0,0,0,6,42,0,0,0,0,0,7,0,10,31,4000,647
TransUnion,9,1,8,1,7,43909,0,0,0,5,6,0,0,2,0,1,0,1,1,7,0,1200,547
Equifax,10,2,8,1,8,77120,793,8,9,12,2,1,1,3,0,3,0,25,0,7,0,0,475
Experian,12,3,9,2,5,11738,143,13,5,4,3,8,0,0,0,1,0,3,1,7,0,9399,490
TransUnion,1,0,1,0,1,57,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,552
Equifax,21,5,16,0,0,123285,1172,1,0,0,16,2,1,1,1,0,0,4,0,12,0,7500,716
Experian,16,13,3,0,0,37840,420,0,0,0,13,1,2,0,0,0,0,2,0,12,0,41750,799
TransUnion,13,4,9,0,0,88942,717,0,0,0,10,2,1,0,0,0,0,0,0,5,0,9200,739
Equifax,29,13,16,0,0,126566,2281,6,0,0,7,22,0,0,0,0,0,19,0,5,0,8089,610
Experian,10,8,2,0,0,19295,385,0,0,0,8,0,0,0,2,0,0,3,0,5,0,18350,629
TransUnion,27,16,11,0,0,311589,5041,1,0,0,11,6,9,1,0,0,0,0,0,20,0,47900,798
Equifax,7,3,4,0,0,23972,463,0,0,0,2,5,0,0,0,0,0,11,0,20,0,550,627
Experian,19,11,8,0,0,43535,1094,0,0,0,16,1,1,0,1,0,0,4,0,29,0,55075,741
TransUnion,1,0,1,0,1,123,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,300,559
Equifax,19,13,6,0,0,8087,230,2,0,0,1,18,0,0,0,0,0,31,0,14,0,1000,628
Experian,11,5,6,0,2,28792,549,0,0,0,5,3,0,0,1,2,0,2,0,14,0,1800,717
TransUnion,7,5,2,0,1,219965,1147,2,1,6,5,0,1,0,0,1,0,2,1,13,0,5550,687
Equifax,10,3,7,0,6,5569,888,9,11,24,7,1,0,1,0,0,1,24,0,13,0,650,590
Experian,14,9,5,0,1,9174,346,0,0,0,11,1,0,0,1,1,0,5,1,13,0,12616,679
TransUnion,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,7000,686
Equifax,8,7,1,0,0,4922,331,0,0,6,2,5,0,0,1,0,0,7,0,46,0,855,680
Experian,16,5,11,0,10,67466,239,6,7,21,9,4,0,2,0,1,0,11,0,46,0,40500,572
TransUnion,32,24,8,0,0,508074,4600,0,0,0,26,4,2,0,0,0,0,0,0,31,0,97900,755
Equifax,18,14,4,0,0,9469,329,0,0,0,15,3,0,0,0,0,0,2,0,31,0,27300,809
Experian,14,6,8,0,0,1569,111,4,3,8,12,1,0,0,1,0,0,3,0,31,0,49851,711
TransUnion,32,24,8,0,0,508074,4600,0,0,0,26,4,2,0,0,0,0,0,0,31,0,97900,755
Equifax,18,14,4,0,0,9469,329,0,0,0,15,3,0,0,0,0,0,2,0,31,0,27300,809
Experian,14,6,8,0,0,1569,111,4,3,8,12,1,0,0,1,0,0,3,0,31,0,49851,711
TransUnion,32,24,8,0,0,508074,4600,0,0,0,26,4,2,0,0,0,0,0,0,31,0,97900,755
Equifax,18,14,4,0,0,9469,329,0,0,0,15,3,0,0,0,0,0,2,0,31,0,27300,809
Experian,14,6,8,0,0,1569,111,4,3,8,12,1,0,0,1,0,0,3,0,31,0,49851,711
TransUnion,36,6,30,1,19,94379,1394,18,7,5,4,15,1,0,0,16,0,0,1,15,0,300,533
Equifax,28,21,7,0,1,115468,1904,0,0,0,23,3,1,1,0,0,0,21,0,15,1,39824,692
Experian,2,0,2,0,2,703,0,0,0,0,0,0,0,0,0,2,0,0,1,15,0,0,508
TransUnion,2,2,0,0,0,1854,30,1,0,0,2,0,0,0,0,0,0,0,0,20,0,5000,687
Equifax,14,10,4,1,0,7961,214,47,8,2,5,8,1,0,0,0,0,27,0,22,0,5500,627
Experian,13,12,1,0,0,1968,99,0,0,0,12,0,1,0,0,0,0,0,0,22,0,56460,828
TransUnion,2,2,0,0,0,1854,30,1,0,0,2,0,0,0,0,0,0,0,0,20,0,5000,687
Equifax,14,10,4,1,0,7961,214,47,8,2,5,8,1,0,0,0,0,27,0,22,0,5500,627
Experian,13,12,1,0,0,1968,99,0,0,0,12,0,1,0,0,0,0,0,0,22,0,56460,828
Equifax,3,1,2,1,1,6784,368,4,4,4,1,2,0,0,0,0,0,45,0,11,0,0,500
Experian,8,5,3,0,0,37055,362,0,0,0,4,2,1,0,0,0,1,0,0,11,0,21500,819
TransUnion,31,10,21,0,1,99374,1132,0,0,0,15,5,7,0,0,0,4,1,0,40,0,309705,812
Equifax,18,16,2,0,1,95992,2256,19,3,1,10,7,0,0,0,1,0,9,0,40,0,8400,615
Experian,4,1,3,0,0,3465,247,0,0,0,1,3,0,0,0,0,0,0,0,40,0,0,655
TransUnion,1,1,0,0,0,1802,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1500,647
Equifax,7,5,2,0,0,6130,267,0,0,0,5,2,0,0,0,0,0,14,0,12,0,0,585
Experian,23,18,5,0,0,21730,616,0,0,0,21,1,1,0,0,0,0,3,0,12,0,47475,733
TransUnion,16,7,9,0,0,5653,262,0,0,0,11,2,1,2,0,0,0,0,0,17,0,59300,825
Equifax,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,17,0,350,584
Experian,13,9,4,0,0,63780,964,1,0,0,11,0,2,0,0,0,0,3,0,17,0,48200,694
TransUnion,13,8,5,2,0,13385,601,6,1,0,2,6,2,0,0,0,3,2,0,19,0,12500,779
Equifax,13,6,7,1,5,42417,1828,15,6,23,2,4,4,3,0,0,0,10,0,19,1,0,566
Experian,17,7,10,4,8,38235,116,29,15,27,13,2,0,2,0,0,0,6,0,19,0,25294,401
TransUnion,13,8,5,2,0,13385,601,6,1,0,2,6,2,0,0,0,3,2,0,19,0,12500,779
Equifax,13,6,7,1,5,42417,1828,15,6,23,2,4,4,3,0,0,0,10,0,19,1,0,566
Experian,17,7,10,4,8,38235,116,29,15,27,13,2,0,2,0,0,0,6,0,19,0,25294,401
TransUnion,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,500,686
Equifax,13,3,10,2,2,16463,79,12,3,10,0,13,0,0,0,0,0,11,0,8,1,0,566
Experian,13,5,8,2,6,75807,738,10,6,22,11,0,1,0,0,0,1,3,1,20,0,4837,513
TransUnion,18,9,9,0,0,41758,1400,0,0,0,7,1,5,4,0,0,1,1,0,34,0,55000,825
Equifax,11,5,6,0,2,394,35,0,0,11,7,2,1,0,0,1,0,20,0,34,0,1128,587
Experian,16,7,9,2,6,11331,57,4,2,0,14,2,0,0,0,0,0,3,1,34,0,19700,568
TransUnion,18,9,9,0,0,41758,1400,0,0,0,7,1,5,4,0,0,1,1,0,34,0,55000,825
Equifax,11,5,6,0,2,394,35,0,0,11,7,2,1,0,0,1,0,20,0,34,0,1128,587
Experian,16,7,9,2,6,11331,57,4,2,0,14,2,0,0,0,0,0,3,1,34,0,19700,568
TransUnion,3,0,3,0,3,1938,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,512
Equifax,19,15,4,0,0,63661,622,0,0,0,15,0,2,0,2,0,0,8,0,24,0,35920,786
Experian,42,20,22,0,1,314182,3419,0,0,0,29,7,6,0,0,0,0,5,0,22,0,103675,803
TransUnion,8,4,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,19,0,7500,742
Equifax,23,11,12,0,0,90190,851,0,0,0,13,4,5,0,1,0,0,21,0,19,0,19712,662
Experian,58,49,9,0,0,267801,5190,0,0,0,43,5,3,0,4,0,3,8,0,19,0,177500,664
TransUnion,8,4,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,19,0,7500,742
Equifax,23,11,12,0,0,90190,851,0,0,0,13,4,5,0,1,0,0,21,0,19,0,19712,662
Experian,58,49,9,0,0,267801,5190,0,0,0,43,5,3,0,4,0,3,8,0,19,0,177500,664
TransUnion,7,4,3,0,0,17905,256,2,0,0,5,1,1,0,0,0,0,2,0,13,0,3500,648
